"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/usr/local/lib/R/site-library","1.4-8",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"alabaster.base","alabaster.base","/usr/local/lib/R/site-library","1.10.0",NA,NA,"alabaster.schemas, methods, utils, S4Vectors, rhdf5 (>=
2.47.6), jsonlite, jsonvalidate, Rcpp","Rcpp, assorthead (>= 1.1.2), Rhdf5lib","BiocStyle, rmarkdown, knitr, testthat, digest, Matrix,
alabaster.matrix",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"alabaster.matrix","alabaster.matrix","/usr/local/lib/R/site-library","1.10.0",NA,"alabaster.base","methods, BiocGenerics, S4Vectors, DelayedArray (>= 0.33.3),
S4Arrays, SparseArray (>= 1.5.22), rhdf5 (>= 2.47.1),
HDF5Array, Matrix, Rcpp","Rcpp","testthat, knitr, BiocStyle, chihaya, BiocSingular,
ResidualMatrix",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"alabaster.ranges","alabaster.ranges","/usr/local/lib/R/site-library","1.10.0",NA,"GenomicRanges, alabaster.base","methods, S4Vectors, BiocGenerics, IRanges, Seqinfo, rhdf5",NA,"testthat, knitr, BiocStyle, jsonlite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"alabaster.schemas","alabaster.schemas","/usr/local/lib/R/site-library","1.10.0",NA,NA,NA,NA,"knitr, rmarkdown, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"alabaster.se","alabaster.se","/usr/local/lib/R/site-library","1.10.0",NA,"SummarizedExperiment, alabaster.base","methods, alabaster.ranges, alabaster.matrix, BiocGenerics,
S4Vectors, IRanges, GenomicRanges, jsonlite",NA,"rmarkdown, knitr, testthat, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"amap","amap","/usr/local/lib/R/site-library","0.8-20",NA,"R (>= 3.6.0)",NA,NA,"Biobase",NA,"GPL",NA,NA,NA,NA,"yes","4.5.0"
"annotate","annotate","/usr/local/lib/R/site-library","1.88.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, humanCHRLOC, Rgraphviz, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"AnnotationDbi","AnnotationDbi","/usr/local/lib/R/site-library","1.72.0",NA,"R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2),
Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"AnnotationFilter","AnnotationFilter","/usr/local/lib/R/site-library","1.34.0",NA,"R (>= 3.4.0)","utils, methods, GenomicRanges, lazyeval",NA,"BiocStyle, knitr, testthat, RSQLite, org.Hs.eg.db, rmarkdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"AnnotationHub","AnnotationHub","/usr/local/lib/R/site-library","4.0.0",NA,"BiocGenerics (>= 0.15.10), BiocFileCache (>= 2.99.3)","utils, methods, grDevices, RSQLite, BiocManager, BiocVersion,
curl, rappdirs, AnnotationDbi (>= 1.31.19), S4Vectors, httr2,
yaml, dplyr, BiocBaseUtils",NA,"IRanges, Seqinfo, GenomeInfoDb, GenomicRanges,
VariantAnnotation, Rsamtools, rtracklayer, BiocStyle, knitr,
AnnotationForge, rBiopaxParser, RUnit, txdbmaker, MSnbase, mzR,
Biostrings, CompoundDb, keras, ensembldb, SummarizedExperiment,
ExperimentHub, gdsfmt, rmarkdown, HubPub","AnnotationHubData","Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
